Z Right -1 -12 0 110 10857 10857
T O 0 -4 171 172 171 0
O Space -3 5 172 187 78 -94
Space B 1 -1 187 78 765 578
B V 0 1 78 62 0 -78
V Back 3 -9 62 110 670 608
Back Back 0 0 110 140 188 78
Back B -3 8 140 203 6770 6630
B E 2 2 203 172 265 62
E Space -3 -1 172 171 141 -31
Space A 2 3 171 156 187 16
A D 0 -2 156 141 140 -16
D O 1 -6 141 187 312 171
O P 0 -1 187 156 109 -78
P T 0 5 156 187 281 125
T E 0 2 187 172 156 -31
E D -1 0 172 172 1716 1544
D Space -2 -1 172 234 250 78
Space A 2 3 234 156 296 62
A T 1 -4 156 156 265 109
T Space -3 1 156 140 172 16
Space B 1 -1 140 140 437 297
B I 2 -3 140 156 203 63
I R 0 4 156 140 234 78
R T 0 -1 140 140 234 94
T H -1 -1 140 171 1123 983
H Space -2 2 171 156 109 -62
Space B 1 -1 156 156 749 593
B Y 2 -1 156 219 249 93
Y Space -3 2 219 172 125 -94
Space A 2 3 172 156 421 249
A Space -2 -3 156 218 219 63
Space L 2 -5 218 140 655 437
L A 0 8 140 125 109 -31
A W 1 -1 125 172 359 234
W Y 0 -4 172 140 718 546
Y E 0 3 140 171 109 -31
E R 0 -1 171 141 249 78
R Space -3 0 141 156 344 203
Space A 2 3 156 140 218 62
A N -1 -5 140 156 109 -31
N D 1 3 156 124 141 -15
D Space -2 -1 124 140 187 63
Space H 2 -2 140 125 546 406
H I 1 -2 125 125 249 124
I S -1 6 125 156 110 -15
S Space -2 -2 156 156 124 -32
Space W 3 2 156 125 546 390
W I 0 -6 125 141 281 156
I F -1 4 141 171 562 421
F E 1 1 171 125 93 -78
E OemPeriod -2 -6 125 125 640 515
OemPeriod Space -1 5 125 141 577 452
Space LShiftKey 1 4 141 484 203 62
LShiftKey W 2 -2 484 156 343 -141
W Back 1 -11 156 156 499 343
Back LShiftKey -3 13 156 265 63 -93
LShiftKey E 2 -3 265 156 109 -156
E X -2 1 156 172 343 187
X C 0 -1 172 171 250 78
C E 2 0 171 156 93 -78
E P 0 -7 156 140 328 172
P T 0 5 140 140 156 16
T Space -3 1 140 156 140 0
Space T 3 -1 156 140 141 -15
T H -1 -1 140 109 156 16
H A 0 5 109 156 31 -78
A T 1 -4 156 109 109 -47
T Space -3 1 109 141 1950 1841
Space W 3 2 141 141 390 249
W H -1 -4 141 141 187 46
H E 1 3 141 125 281 140
E N -2 -3 125 156 250 125
N Space -1 2 156 140 78 -78
Space LShiftKey 1 4 140 219 296 156
LShiftKey I 2 -8 219 172 125 -94
I Space -3 4 172 156 94 -78
Space P 3 -6 156 109 795 639
P O 0 1 109 110 187 78
O P 0 -1 110 93 188 78
P P 0 0 93 124 156 63
P E 0 7 124 140 109 -15
E D -1 0 140 124 281 141
D Space -2 -1 124 156 124 0
Space O 3 -5 156 110 312 156
O U 0 2 110 125 203 93
U T 0 2 125 172 546 421
T Space -3 1 172 140 1607 1435
Space T 3 -1 140 172 608 468
T H -1 -1 172 172 234 62
H E 1 3 172 156 437 265
E Y 0 -3 156 172 125 -31
Y Space -3 2 172 140 94 -78
Space D 2 1 140 250 202 62
D W 1 1 250 140 172 -78
W E 0 -1 140 172 0 -140
E Back 1 -10 172 93 983 811
Back Back 0 0 93 140 156 63
Back E -1 10 140 187 125 -15
E C -2 0 187 188 436 249
C I 2 -5 188 141 359 171
I D -1 5 141 249 172 31
D E 1 0 249 156 156 -93
E D -1 0 156 171 203 47
D Space -2 -1 171 203 358 187
Space A 2 3 203 156 390 187
A T 1 -4 156 156 234 78
T Space -3 1 156 187 281 125
Space T 3 -1 187 140 671 484
T H -1 -1 140 140 312 172
H E 1 3 140 187 265 125
E Space -3 -1 187 125 203 16
Space L 2 -5 125 140 328 203
L A 0 8 140 219 93 -47
A S 0 -1 219 140 125 -94
S T 1 -3 140 125 234 94
T Space -3 1 125 141 109 -16
Space M 1 -3 141 140 203 62
M I 2 -1 140 109 234 94
I N -2 2 109 125 234 125
N U 2 -1 125 156 218 93
U T 0 2 156 187 921 765
T E 0 2 187 156 140 -47
E Space -3 -1 156 219 811 655
Space T 3 -1 219 172 484 265
T H -1 -1 172 140 250 78
H A 0 5 140 172 93 -47
A T 1 -4 172 156 78 -94
T Space -3 1 156 187 125 -31
Space T 3 -1 187 156 437 250
T H -1 -1 156 140 203 47
H E 1 3 140 187 374 234
E Y 0 -3 187 172 499 312
Y Space -3 2 172 140 94 -78
Space T 3 -1 140 78 234 94
T Back 1 -8 78 156 608 530
Back R -1 9 156 140 125 -31
R E 0 1 140 156 265 125
E A -1 2 156 125 78 -78
A L 0 -8 125 94 250 125
L L 0 0 94 125 140 46
L Y 1 3 125 156 281 156
Y Space -3 2 156 125 109 -47
Space W 3 2 125 172 156 31
W A -1 1 172 172 78 -94
A N -1 -5 172 125 562 390
N T 2 1 125 172 156 31
T E 0 2 172 156 78 -94
E D -1 0 156 125 296 140
D Space -2 -1 125 141 156 31
Space A 2 3 141 125 141 0
A Space -2 -3 125 156 109 -16
Space G 2 -1 156 140 203 47
G I 1 -3 140 140 343 203
I R 0 4 140 156 172 32
R L -1 -5 156 109 1809 1653
L OemPeriod -1 0 109 94 234 125
OemPeriod Space -1 5 94 141 187 93
Space LShiftKey 1 4 141 296 32 -109
LShiftKey S 1 -2 296 172 140 -156
S O 1 -7 172 172 187 15
O Space -3 5 172 172 78 -94
Space M 1 -3 172 140 718 546
M Y 2 1 140 140 265 125
Y Space -3 2 140 172 78 -62
Space P 3 -6 172 140 359 187
P A -1 9 140 156 109 -31
A R 1 -3 156 203 187 31
R E 0 1 203 156 109 -94
E N -2 -3 156 125 437 281
N T 2 1 125 187 141 16
T S -1 3 187 172 124 -63
S Space -2 -2 172 171 297 125
Space Back 4 -9 171 156 437 266
Back Oemcomma -3 5 156 109 421 265
Oemcomma Space -1 4 109 141 218 109
Space W 3 2 141 141 265 124
W H -1 -4 141 187 188 47
H O 1 -3 187 202 78 -109
O Space -3 5 202 188 202 0
Space W 3 2 188 218 3074 2886
W E 0 -1 218 172 140 -78
E R 0 -1 172 172 265 93
R E 0 1 172 156 47 -125
E Space -3 -1 156 187 343 187
Space O 3 -5 187 125 546 359
O N -2 3 125 265 468 343
N Space -1 2 265 218 203 -62
Space A 2 3 218 171 718 500
A Space -2 -3 171 218 218 47
Space W 3 2 218 202 250 32
W A -1 1 202 125 124 -78
A I 1 -7 125 156 266 141
I T 0 3 156 140 218 62
T I 0 -3 140 125 109 -31
I N -2 2 125 141 234 109
N G 1 1 141 141 187 46
G Space -2 1 141 125 141 0
Space L 2 -5 125 110 327 202
L I 1 1 110 125 203 93
I S -1 6 125 156 203 78
S T 1 -3 156 156 250 94
T Oemcomma -2 -3 156 110 1138 982
Oemcomma Space -1 4 110 156 281 171
Space G 2 -1 156 156 343 187
G O 1 -4 156 156 94 -62
O T 0 4 156 125 187 31
T Space -3 1 125 187 250 125
Space A 2 3 187 172 218 31
A Space -2 -3 172 156 172 0
Space C 1 1 156 172 343 187
C A 1 2 172 156 94 -78
A L 0 -8 156 93 187 31
L L 0 0 93 125 171 78
L Space -2 5 125 172 1576 1451
Space I 3 -4 172 125 452 280
I N -2 2 125 141 234 109
N Space -1 2 141 109 94 -47
Space T 3 -1 109 156 16 -93
T H -1 -1 156 125 202 46
H E 1 3 125 140 94 -31
E Space -3 -1 140 141 109 -31
Space M 1 -3 141 140 219 78
M I 2 -1 140 125 405 265
I D -1 5 125 93 141 16
D D 0 0 93 141 171 78
D L 0 -6 141 124 141 0
L E 1 6 124 140 140 16
E Space -3 -1 140 125 187 47
Space O 3 -5 125 172 203 78
O F -1 5 172 141 530 358
F Space -2 0 141 203 297 156
Space T 3 -1 203 156 187 -16
T H -1 -1 156 156 125 -31
H E 1 3 156 156 109 -47
E Space -3 -1 156 140 125 -31
Space N 1 -2 140 171 390 250
N I 2 -2 171 156 218 47
I G -1 3 156 171 328 172
G H 0 -1 171 140 1217 1046
H T 1 1 140 140 156 16
T Space -3 1 140 187 140 0
Space A 2 3 187 172 1638 1451
A S 0 -1 172 140 234 62
S K 0 -6 140 109 265 125
K I 1 0 109 110 187 78
I N -2 2 110 140 219 109
N G 1 1 140 156 1497 1357
G RShiftKey -1 -6 156 2995 141 -15
RShiftKey Oem1 1 1 2995 156 171 -2824
Oem1 Oem7 0 -1 156 188 2496 2340
Oem7 LShiftKey -1 11 188 484 936 748
LShiftKey W 2 -2 484 156 375 -109
W E 0 -1 156 187 265 109
E Space -3 -1 187 156 156 -31
Space H 2 -2 156 140 234 78
H A 0 5 140 171 94 -46
A V -1 -3 171 203 249 78
V E 2 1 203 172 109 -94
E Space -3 -1 172 202 266 94
Space A 2 3 202 156 265 63
A N -1 -5 156 203 109 -47
N Space -1 2 203 156 125 -78
Space U 3 -3 156 141 483 327
U M -2 0 141 140 375 234
M E 2 4 140 141 374 234
E X -2 1 141 156 312 171
X P 2 -8 156 140 219 63
P E 0 7 140 125 109 -31
E C -2 0 125 141 296 171
C T 2 -2 141 171 328 187
T E 0 2 171 125 93 -78
E D -1 0 125 125 250 125
D Space -2 -1 125 172 140 15
Space B 1 -1 172 172 640 468
B A 1 4 172 156 234 62
A B -1 -4 156 156 234 78
B Y 2 -1 156 140 312 156
Y Space -3 2 140 141 109 -31
Space B 1 -1 141 140 749 608
B O 2 -4 140 156 218 78
O Y 0 3 156 141 3401 3245
Y Oem1 -1 -4 141 140 983 842
Oem1 Space -2 6 140 156 312 172
Space D 2 1 156 125 1482 1326
D O 1 -6 125 141 140 15
O Space -3 5 141 141 78 -63
Space Y 3 -2 141 156 250 109
Y O 0 -3 156 219 109 -47
O U 0 2 219 187 141 -78
U Space -3 3 187 234 3962 3775
Space W 3 2 234 202 172 -62
W A -1 1 202 171 109 -93
A N -1 -5 171 140 234 63
N T 2 1 140 156 125 -15
T Space -3 1 156 140 187 31
Space H 2 -2 140 218 390 250
H I 1 -2 218 140 109 -109
I M -2 1 140 125 437 297
M RShiftKey 0 -4 125 2355 390 265
RShiftKey OemQuestion 0 1 2355 156 811 -1544
OemQuestion Oem7 1 -1 156 171 1108 952
Oem7 LShiftKey -1 11 171 796 1232 1061
LShiftKey Space -1 -4 796 141 265 -531
Space T 3 -1 141 156 390 249
T H -1 -1 156 125 1061 905
H E 1 3 125 156 218 93
E Y 0 -3 156 172 484 328
Y Space -3 2 172 141 109 -63
Space S 2 2 141 203 203 62
S A 0 1 203 141 140 -63
A I 1 -7 141 140 484 343
I D -1 5 140 172 421 281
D RShiftKey -1 -8 172 1669 297 125
RShiftKey Oem1 1 1 1669 140 936 -733
Oem1 Oem7 0 -1 140 94 436 296
Oem7 Oem7 0 0 94 94 156 62
Oem7 Left -2 0 94 124 500 406
Left Right 0 -2 124 140 9656 9532
Right LShiftKey 1 13 140 702 1139 999
LShiftKey O 2 -9 702 140 546 -156
O F -1 5 140 171 468 328
F Space -2 0 171 156 203 32
Space LShiftKey 1 4 156 234 312 156
LShiftKey C 0 -3 234 140 156 -78
C Back 3 -10 140 172 1076 936
Back C -3 10 172 156 374 202
C O 2 -6 156 156 125 -31
O U 0 2 156 141 343 187
U R 0 3 141 156 328 187
R C -2 1 156 234 608 452
C E 2 0 234 172 125 -109
E Right -3 -10 172 156 967 795
Right Left 0 2 156 109 484 328
Left Left 0 0 109 109 172 63
Left Left 0 0 109 109 156 47
Left Back 4 -2 109 109 608 499
Back S -2 11 109 140 94 -15
S Left -2 -9 140 156 265 125
Left Left 0 0 156 94 218 62
Left Right 0 -2 94 109 593 499
Right Right 0 0 109 94 187 78
Right Right 0 0 94 78 172 78
Right Back 4 0 78 94 686 608
Back Back 0 0 94 156 141 47
Back R -1 9 156 156 748 592
R S -1 2 156 172 172 16
S OemPeriod -1 -7 172 78 6006 5834
OemPeriod RShiftKey 0 -2 78 1139 359 281
RShiftKey Space -1 7 1139 109 593 -546
Space Oem7 2 -7 109 125 109 0
Oem7 LShiftKey -1 11 125 2715 561 436
LShiftKey M 0 -7 2715 141 2574 -141
M Y 2 1 141 156 312 171
Y Space -3 2 156 141 78 -78
Space B 1 -1 141 140 453 312
B I 2 -3 140 125 109 -31
I O 0 -1 125 109 187 62
O L -1 0 109 110 187 78
L O 1 0 110 140 172 62
O G -1 4 140 156 281 141
G I 1 -3 156 140 125 -31
I V -2 4 140 109 452 312
V Back 3 -9 109 156 359 250
Back C -3 10 156 187 78 -78
C A 1 2 187 63 171 -16
A L 0 -8 63 203 687 624
L Space -2 5 203 156 140 -63
Space M 1 -3 156 218 2091 1935
M O 2 -2 218 172 124 -94
O T 0 4 172 156 281 109
T H -1 -1 156 156 172 16
H E 1 3 156 218 156 0
E R 0 -1 218 171 125 -93
R Space -3 0 171 109 187 16
Space L 2 -5 109 140 203 94
L A 0 8 140 156 46 -94
A T 1 -4 156 171 188 32
T E 0 2 171 156 78 -93
E R 0 -1 156 125 249 93
R Space -3 0 125 156 172 47
Space F 2 0 156 141 296 140
F O 1 -5 141 124 219 78
O U 0 2 124 141 202 78
U N -2 1 141 140 250 109
N D 1 3 140 156 374 234
D Space -2 -1 156 156 219 63
Space O 3 -5 156 141 296 140
O U 0 2 141 140 219 78
U T 0 2 140 156 187 47
T Space -3 1 156 172 811 655
Space T 3 -1 172 171 203 31
T H -1 -1 171 140 265 94
H A 0 5 140 187 109 -31
A T 1 -4 187 141 78 -109
T Space -3 1 141 140 172 31
Space M 1 -3 140 141 140 0
M Y 2 1 141 125 281 140
Y Space -3 2 125 125 78 -47
Space M 1 -3 125 203 281 156
M O 2 -2 203 187 109 -94
O T 0 4 187 172 234 47
T H -1 -1 172 140 203 31
H E 1 3 140 172 187 47
E R 0 -1 172 141 109 -63
R Space -3 0 141 141 234 93
Space H 2 -2 141 156 219 78
H A 0 5 156 172 124 -32
A D 0 -2 172 156 125 -47
D Space -2 -1 156 140 172 16
Space N 1 -2 140 141 374 234
N E 2 3 141 156 94 -47
E V -2 -1 156 156 312 156
V E 2 1 156 171 94 -62
E R 0 -1 171 140 187 16
R Space -3 0 140 187 156 16
Space G 2 -1 187 141 140 -47
G R 1 1 141 140 250 109
R A -1 3 140 156 78 -62
A D 0 -2 156 140 203 47
D U 1 -4 140 125 436 296
U T 0 2 125 78 156 31
T Back 1 -8 78 172 312 234
Back A -2 12 172 171 141 -31
A T 1 -4 171 187 312 141
T E 0 2 187 156 234 47
E D -1 0 156 156 265 109
D Space -2 -1 156 156 187 31
Space F 2 0 156 203 421 265
F R 1 0 203 156 94 -109
R O 0 -5 156 125 187 31
O M -2 2 125 203 234 109
M Space -1 3 203 140 141 -62
Space C 1 1 140 156 624 484
C O 2 -6 156 156 140 -16
O L -1 0 156 78 250 94
L L 0 0 78 156 156 78
L E 1 6 156 188 124 -32
E G -1 -2 188 171 219 31
G E 1 2 171 141 93 -78
E Space -3 -1 141 125 219 78
Space A 2 3 125 125 140 15
A N -1 -5 125 156 78 -47
N D 1 3 156 140 141 -15
D Space -2 -1 140 203 405 265
Space T 3 -1 203 172 234 31
T H -1 -1 172 141 187 15
H A 0 5 141 171 110 -31
A T 1 -4 171 140 109 -62
T Space -3 1 140 172 187 47
Space M 1 -3 172 203 265 93
M Y 2 1 203 188 967 764
Y Space -3 2 188 124 110 -78
Space F 2 0 124 172 202 78
F A 0 3 172 140 110 -62
A T 1 -4 140 172 202 62
T H -1 -1 172 156 234 62
H E 1 3 156 172 203 47
E R 0 -1 172 140 94 -78
R Space -3 0 140 156 218 78
Space H 2 -2 156 172 546 390
H A 0 5 172 327 141 -31
A D 0 -2 327 187 140 -187
D Space -2 -1 187 156 2590 2403
Space N 1 -2 156 140 234 78
N E 2 3 140 188 46 -94
E V -2 -1 188 172 250 62
V E 2 1 172 156 94 -78
E R 0 -1 156 125 202 46
R Space -3 0 125 171 141 16
Space G 2 -1 171 140 125 -46
G R 1 1 140 156 234 94
R A -1 3 156 141 93 -63
A D 0 -2 141 125 203 62
D U 1 -4 125 125 218 93
U A -1 6 125 140 110 -15
A T 1 -4 140 156 156 16
T E 0 2 156 156 78 -78
E D -1 0 156 109 234 78
D F 0 -1 109 109 249 140
F Space -2 0 109 203 47 -62
Space F 2 0 203 187 952 749
F R 1 0 187 156 78 -109
R O 0 -5 156 109 140 -16
O M -2 2 109 187 203 94
M Space -1 3 187 156 93 -94
Space H 2 -2 156 124 266 110
H I 1 -2 124 141 202 78
I G -1 3 141 156 437 296
G H 0 -1 156 140 94 -62
H S 0 4 140 125 390 250
S C -1 -1 125 109 281 156
C H 1 -3 109 125 171 62
H O 1 -3 125 94 265 140
O O 0 0 94 78 156 62
O L -1 0 78 125 141 63
L Left -2 -2 125 93 1560 1435
Left Left 0 0 93 78 140 47
Left Left 0 0 78 78 156 78
Left Left 0 0 78 93 141 63
Left Left 0 0 93 93 156 63
Left Left 0 0 93 78 343 250
Left Space 0 7 78 141 873 795
Space Right 0 -9 141 109 141 0
Right Right 0 0 109 78 171 62
Right Right 0 0 78 109 125 47
Right Right 0 0 109 78 172 63
Right Right 0 0 78 78 156 78
Right Right 0 0 78 63 171 93
Right Right 0 0 63 78 172 109
Right OemPeriod 1 4 78 141 1232 1154
OemPeriod LShiftKey 0 9 141 530 219 78
LShiftKey Space -1 -4 530 171 78 -452
Space S 2 2 171 171 312 141
S J 0 -5 171 125 312 141
J E 1 4 125 156 78 -47
E Space -3 -1 156 172 187 31
Space R 3 0 172 171 359 187
R E 0 1 171 141 93 -78
E F -1 -1 141 156 203 62
F U 1 -3 156 187 203 47
U S -1 5 187 187 234 47
S E 1 -1 187 188 140 -47
E D -1 0 188 172 281 93
D Space -2 -1 172 219 156 -16
Space T 3 -1 219 141 312 93
T O 0 -4 141 171 141 0
O Space -3 5 171 202 78 -93
Space S 2 2 202 171 312 110
S I 1 -6 171 172 202 31
I G -1 3 172 172 390 218
G N -1 -1 172 249 375 203
N Space -1 2 249 218 265 16
Space T 3 -1 218 156 842 624
T H -1 -1 156 140 188 32
H E 1 3 140 141 124 -16
E Space -3 -1 141 172 125 -16
Space F 2 0 172 156 265 93
F I 1 -4 156 125 156 0
I M -2 1 125 156 234 109
M A 1 6 156 125 125 -31
A Back 2 -12 125 93 375 250
Back Back 0 0 93 94 171 78
Back N -3 7 94 156 250 156
N A 1 5 156 141 218 62
A L 0 -8 141 140 515 374
L Space -2 5 140 94 218 78
Space A 2 3 94 156 6974 6880
A D 0 -2 156 141 436 280
D O 1 -6 141 93 141 0
O P 0 -1 93 141 171 78
P T 0 5 141 172 390 249
T I 0 -3 172 172 156 -16
I O 0 -1 172 156 78 -94
O N -2 3 156 172 390 234
N Space -1 2 172 141 78 -94
Space P 3 -6 141 156 328 187
P A -1 9 156 156 125 -31
A P 1 -9 156 141 171 15
P E 0 7 141 156 125 -16
E R 0 -1 156 172 203 47
R S -1 2 172 156 577 405
S Oemcomma -1 -6 156 109 453 297
Oemcomma Space -1 4 109 125 187 78
Space LShiftKey 1 4 125 359 31 -94
LShiftKey S 1 -2 359 171 172 -187
S H 0 -4 171 141 358 187
H E 1 3 141 156 110 -31
E Back 1 -10 156 109 1497 1341
Back Back 0 0 109 109 172 63
Back Back 0 0 109 109 156 47
Back Back 0 0 109 94 171 62
Back Back 0 0 94 125 156 62
Back OemPeriod -3 4 125 94 624 499
OemPeriod Space -1 5 94 140 172 78
Space LShiftKey 1 4 140 250 109 -31
LShiftKey S 1 -2 250 203 109 -141
S H 0 -4 203 125 141 -62
H E 1 3 125 141 171 46
E Space -3 -1 141 140 94 -47
Space O 3 -5 140 109 250 110
O N -2 3 109 62 218 109
N L 1 -3 62 140 515 453
L Y 1 3 140 140 858 718
Y Space -3 2 140 172 2199 2059
Space R 3 0 172 171 297 125
R E 0 1 171 156 78 -93
E L -1 -6 156 140 234 78
L E 1 6 140 125 78 -62
E N -2 -3 125 156 312 187
N T 2 1 156 187 265 109
T E 0 2 187 156 78 -109
E D -1 0 156 156 296 140
D Space -2 -1 156 172 671 515
Space A 2 3 172 172 156 -16
A Space -2 -3 172 125 109 -63
Space F 2 0 125 188 312 187
F E 1 1 188 140 110 -78
E W 0 1 140 140 265 125
W Space -3 -2 140 140 156 16
Space M 1 -3 140 203 265 125
M O 2 -2 203 156 94 -109
O N -2 3 156 156 234 78
N T 2 1 156 156 296 140
T H -1 -1 156 156 125 -31
H S 0 4 156 187 764 608
S Space -2 -2 187 141 889 702
Space L 2 -5 141 125 297 156
L A 0 8 125 156 78 -47
A T 1 -4 156 156 218 62
T E 0 2 156 141 78 -78
E R 0 -1 141 140 250 109
R Space -3 0 140 156 203 63
Space W 3 2 156 156 249 93
W H -1 -4 156 125 156 0
H E 1 3 125 109 156 31
E N -2 -3 109 156 109 0
N Space -1 2 156 141 78 -78
Space M 1 -3 141 141 359 218
M Y 2 1 141 125 265 124
Y Space -3 2 125 140 63 -62
Space P 3 -6 140 156 702 562
P A -1 9 156 156 187 31
A R 1 -3 156 171 250 94
R E 0 1 171 218 62 -109
E M -2 -4 218 109 484 266
M T 2 2 109 62 234 125
T Back 1 -8 62 125 764 702
Back Back 0 0 125 172 156 31
Back M -3 6 172 78 655 483
M Oemplus 3 -5 78 78 281 203
Oemplus N -3 6 78 109 234 156
N Oemplus 3 -6 109 109 265 156
Oemplus Back 0 -1 109 93 484 375
Back Back 0 0 93 93 156 63
Back Back 0 0 93 93 156 63
Back Back 0 0 93 140 156 63
Back Back 0 0 140 140 203 63
Back E -1 10 140 172 920 780
E M -2 -4 172 141 343 171
M T 2 2 141 156 203 62
T S -1 3 156 156 94 -62
S Back 2 -11 156 125 951 795
Back Back 0 0 125 93 172 47
Back Back 0 0 93 140 156 63
Back N -3 7 140 109 593 453
N T 2 1 109 172 374 265
T S -1 3 172 156 140 -32
S Space -2 -2 156 187 281 125
Space P 3 -6 187 110 2605 2418
P R 0 6 110 156 203 93
R O 0 -5 156 109 172 16
O M -2 2 109 188 249 140
M I 2 -1 188 140 172 -16
I S -1 6 140 171 125 -15
S E 1 -1 171 156 140 -31
E D -1 0 156 141 265 109
D Space -2 -1 141 156 110 -31
Space T 3 -1 156 156 171 15
T H -1 -1 156 125 156 0
H A 0 5 125 203 94 -31
A T 1 -4 203 156 109 -94
T LShiftKey -2 5 156 375 3307 3151
LShiftKey Space -1 -4 375 203 468 93
Space LShiftKey 1 4 203 265 141 -62
LShiftKey I 2 -8 265 187 156 -109
I Space -3 4 187 156 109 -78
Space W 3 2 156 156 249 93
W O 0 -7 156 156 188 32
O U 0 2 156 109 218 62
U L -1 -2 109 125 203 94
L D 0 6 125 124 125 0
D Space -2 -1 124 141 124 0
Space S 2 2 141 125 125 -16
S O 1 -7 125 109 94 -31
O M -2 2 109 124 203 94
M E 2 4 124 141 93 -31
E D -1 0 141 171 1155 1014
D A 0 2 171 156 93 -78
A Y 1 -5 156 156 234 78
Y Space -3 2 156 172 78 -78
Space G 2 -1 172 140 250 78
G O 1 -4 140 156 93 -47
O Space -3 5 156 78 141 -15
Space T 3 -1 78 110 93 15
T O 0 -4 110 172 78 -32
O Space -3 5 172 140 94 -78
Space C 1 1 140 93 250 110
C V 0 -1 93 78 0 -93
V O 2 -5 78 156 93 15
O Back 1 -4 156 110 733 577
Back Back 0 0 110 109 250 140
Back O -1 4 109 94 1466 1357
O L -1 0 94 78 188 94
L L 0 0 78 109 140 62
L E 1 6 109 156 78 -31
E G -1 -2 156 156 109 -47
G E 1 2 156 172 78 -78
E OemPeriod -2 -6 172 78 406 234
OemPeriod Return 1 -3 78 62 437 359
Return Return 0 0 62 94 140 78
Return A 0 11 94 172 12121 12027
A N -1 -5 172 109 156 -16
N Back 3 -7 109 109 562 453
Back Back 0 0 109 110 171 62
Back LShiftKey -3 13 110 421 94 -16
LShiftKey A 1 -1 421 188 218 -203
A N -1 -5 188 124 344 156
N D 1 3 124 156 93 -31
D Space -2 -1 156 140 141 -15
Space D1 4 3 140 141 561 421
D1 D7 0 -6 141 109 234 93
D7 Space -4 3 109 156 187 78
Space Y 3 -2 156 125 203 47
Y E 0 3 125 171 94 -31
E A -1 2 171 140 78 -93
A R 1 -3 140 125 156 16
R S -1 2 125 140 234 109
S Space -2 -2 140 125 109 -31
Space L 2 -5 125 125 265 140
L A 0 8 125 156 63 -62
A T 1 -4 156 171 187 31
T E 0 2 171 156 78 -93
E R 0 -1 156 156 234 78
R Space -3 0 156 156 1357 1201
Space LShiftKey 1 4 156 297 109 -47
LShiftKey I 2 -8 297 172 203 -94
I Space -3 4 172 156 109 -63
Space D 2 1 156 125 250 94
D I 1 -5 125 125 93 -32
I D -1 5 125 125 141 16
D Space -2 -1 125 156 109 -16
Space G 2 -1 156 141 374 218
G O 1 -4 141 156 94 -47
O Space -3 5 156 156 78 -78
Space T 3 -1 156 110 140 -16
T O 0 -4 110 140 94 -16
O Space -3 5 140 125 78 -62
Space C 1 1 125 141 265 140
C O 2 -6 141 125 125 -16
O L -1 0 125 93 203 78
L L 0 0 93 125 140 47
L E 1 6 125 171 94 -31
E G -1 -2 171 171 156 -15
G E 1 2 171 141 93 -78
E Oemcomma -2 -5 141 93 765 624
Oemcomma Back 3 -5 93 109 889 796
Back OemPeriod -3 4 109 94 811 702
OemPeriod Space -1 5 94 125 234 140
LShiftKey B 0 -5 249 156 93 -156
B U 2 -2 156 171 531 375
U T 0 2 171 156 203 32
T Space -3 1 156 172 374 218
Space LShiftKey 1 4 172 484 156 -16
LShiftKey I 2 -8 484 140 359 -125
I Space -3 4 140 171 172 32
Space N 1 -2 171 141 249 78
N A 1 5 141 140 125 -16
A I 1 -7 140 156 265 125
I V -2 4 156 203 546 390
V E 2 1 203 140 125 -78
E L -1 -6 140 109 187 47
L Y 1 3 109 188 1045 936
Y Space -3 2 188 156 125 -63
Space C 1 1 156 124 687 531
C O 2 -6 124 109 171 47
O Back 1 -4 109 156 796 687
Back H -2 7 156 156 421 265
H O 1 -3 156 187 94 -62
O S -1 7 187 188 280 93
S E 1 -1 188 172 156 -32
E Space -3 -1 172 171 1826 1654
Space A 2 3 171 156 140 -31
A Space -2 -3 156 140 125 -31
Space C 1 1 140 125 343 203
C O 2 -6 125 109 156 31
O L -1 0 109 78 187 78
L L 0 0 78 124 141 63
L E 1 6 124 171 78 -46
E G -1 -2 171 172 140 -31
G E 1 2 172 156 94 -78
E Space -3 -1 156 203 171 15
Space T 3 -1 203 156 1170 967
T H -1 -1 156 141 234 78
H A 0 5 141 156 125 -16
A T 1 -4 156 156 78 -78
T Space -3 1 156 156 187 31
Space W 3 2 156 172 577 421
W A -1 1 172 156 110 -62
A S 0 -1 156 109 218 62
S Space -2 -2 109 156 140 31
Space A 2 3 156 125 203 47
A L 0 -8 125 109 281 156
L M -1 2 109 203 827 718
M O 2 -2 203 156 78 -125
O S -1 7 156 141 140 -16
S T 1 -3 141 140 219 78
T Space -3 1 140 156 140 0
Space A 2 3 156 140 390 234
A S 0 -1 140 124 172 32
S Space -2 -2 124 156 156 32
Space E 3 1 156 172 202 46
E X -2 1 172 172 328 156
X P 2 -8 172 140 359 187
P E 0 7 140 156 109 -31
E N -2 -3 156 94 421 265
N S 1 4 94 172 109 15
S I 1 -6 172 156 281 109
I V -2 4 156 171 375 219
V E 2 1 171 156 93 -78
E Space -3 -1 156 156 343 187
Space A 2 3 156 187 203 47
A S 0 -1 187 141 156 -31
S Space -2 -2 141 172 203 62
Space LShiftKey 1 4 172 390 374 202
LShiftKey S 1 -2 390 156 250 -140
S T 1 -3 156 140 281 125
T A -1 4 140 156 78 -62
A N -1 -5 156 140 468 312
N F 1 2 140 156 390 250
F O 1 -5 156 140 234 78
O R 0 5 140 140 109 -31
R D -1 1 140 140 312 172
D Oemcomma -1 -5 140 109 1435 1295
Oemcomma Space -1 4 109 140 203 94
Space A 2 3 140 171 328 188
A N -1 -5 171 156 202 31
N D 1 3 156 140 172 16
