D0 D9 0 1 156 125 93 -63
F Space -2 0 94 93 125 31
Space D 2 1 93 94 499 406
D E 1 0 94 172 156 62
E A -1 2 172 141 109 -63
A T 1 -4 141 140 297 156
T H -1 -1 140 109 78 -62
H OemPeriod -1 -3 109 109 187 78
OemPeriod Space -1 5 109 109 125 16
Space Back 4 -9 109 78 655 546
Back Back 0 0 78 93 156 78
Back Oemcomma -3 5 93 109 468 375
Oemcomma Space -1 4 109 94 109 0
Space L 2 -5 94 94 156 62
L E 1 6 94 125 140 46
E A -1 2 125 140 94 -31
A V -1 -3 140 93 172 32
V I 2 -4 93 141 124 31
I N -2 2 141 94 94 -47
N G 1 1 94 94 78 -16
G Space -2 1 94 93 125 31
Space O 3 -5 93 140 671 578
O N -2 3 140 187 78 -62
N L 1 -3 187 93 156 -31
L Y 1 3 93 63 93 0
Y Space -3 2 63 93 94 31
Space W 3 2 93 78 218 125
W H -1 -4 78 94 78 0
H A 0 5 94 187 125 31
A T 1 -4 187 109 125 -62
T Space -3 1 109 94 109 0
Space I 3 -4 94 109 156 62
I S -1 6 109 78 94 -15
S Space -2 -2 78 78 93 15
Space T 3 -1 78 78 265 187
T R 0 1 78 124 32 -46
R U 0 -3 124 93 156 32
U L -1 -2 93 93 1248 1155
L Y 1 3 93 78 124 31
Y Space -3 2 78 110 78 0
Space I 3 -4 110 140 141 31
I M -2 1 140 94 93 -47
M P 2 -3 94 156 188 94
P O 0 1 156 109 78 -78
O R 0 5 109 141 93 -16
R T 0 -1 141 109 78 -63
T A -1 4 109 110 187 78
A N -1 -5 110 109 94 -16
N T 2 1 109 94 109 0
T OemPeriod -2 -4 94 110 187 93
OemPeriod Space -1 5 110 94 125 15
Space RShiftKey 1 -7 94 203 1014 920
RShiftKey R 2 7 203 156 141 -62
R E 0 1 156 125 93 -63
E M -2 -4 125 109 141 16
M E 2 4 109 94 93 -16
E M -2 -4 94 94 125 31
M B 0 2 94 62 125 31
B E 2 2 62 125 156 94
E R 0 -1 125 109 62 -63
R I 0 -4 109 156 125 16
I N -2 2 156 109 78 -78
N G 1 1 109 93 125 16
G Space -2 1 93 93 125 32
Space T 3 -1 93 140 468 375
T H -1 -1 140 94 93 -47
H A 0 5 94 141 234 140
A T 1 -4 141 62 94 -47
T Space -3 1 62 93 78 16
Space Y 3 -2 93 78 93 0
Y O 0 -3 78 124 110 32
O U 0 2 124 109 62 -62
U Space -3 3 109 110 62 -47
Space A 2 3 110 125 156 46
A R 1 -3 125 156 125 0
R E 0 1 156 110 109 -47
E Space -3 -1 110 94 78 -32
Space G 2 -1 94 78 94 0
G O 1 -4 78 187 94 16
O I 0 1 187 109 109 -78
I N -2 2 109 109 218 109
N G 1 1 109 63 109 0
G Space -2 1 63 109 94 31
Space T 3 -1 109 94 62 -47
T O 0 -4 94 78 125 31
O Space -3 5 78 94 31 -47
Space D 2 1 94 109 188 94
D I 1 -5 109 94 124 15
I E 0 5 94 93 141 47
E Space -3 -1 93 94 1123 1030
Space I 3 -4 94 125 234 140
I S -1 6 125 78 125 0
S Space -2 -2 78 110 93 15
Space T 3 -1 110 125 156 46
T H -1 -1 125 94 78 -47
H E 1 3 94 94 172 78
E Space -3 -1 94 78 94 0
Space B 1 -1 78 109 156 78
B E 2 2 109 156 62 -47
E S -1 1 156 156 78 -78
S T 1 -3 156 47 296 140
T Y 0 -1 47 32 0 -47
Y Space -3 2 32 109 141 109
Space W 3 2 109 141 296 187
W A -1 1 141 125 78 -63
A Y 1 -5 125 78 297 172
Y Space -3 2 78 78 109 31
Space RShiftKey 1 -7 78 203 187 109
RShiftKey I 2 3 203 93 94 -109
I Space -3 4 93 94 93 0
Space K 2 -4 94 125 156 62
K N -1 2 125 124 63 -62
N O 2 -3 124 109 187 63
O W 0 7 109 78 140 31
W Space -3 -2 78 125 94 16
Space T 3 -1 125 62 671 546
T O 0 -4 62 78 93 31
O Space -3 5 78 109 94 16
Space A 2 3 109 140 234 125
A V -1 -3 140 109 78 -62
V O 2 -5 109 188 93 -16
O I 0 1 188 62 141 -47
I D -1 5 62 109 62 0
D Space -2 -1 109 78 187 78
Space T 3 -1 78 141 593 515
T H -1 -1 141 94 78 -63
H E 1 3 94 94 187 93
E Space -3 -1 94 93 63 -31
Space T 3 -1 93 124 125 32
T R 0 1 124 109 62 -62
R A -1 3 109 78 203 94
A P 1 -9 78 93 78 0
P Space -3 6 93 94 109 16
Space O 3 -5 94 93 125 31
O F -1 5 93 62 109 16
F Space -2 0 62 109 78 16
Space T 3 -1 109 125 203 94
T H -1 -1 125 78 78 -47
H I 1 -2 78 94 15 -63
I N -2 2 94 172 78 -16
N K 1 -2 172 94 94 -78
K I 1 0 94 140 203 109
I N -2 2 140 141 62 -78
N G 1 1 141 93 172 31
G Space -2 1 93 46 125 32
Space Y 3 -2 46 78 1326 1280
Y O 0 -3 78 140 78 0
O U 0 2 140 109 62 -78
U Space -3 3 109 94 109 0
Space H 2 -2 94 94 125 31
H A 0 5 94 109 78 -16
A V -1 -3 109 141 140 31
V E 2 1 141 109 94 -47
E Space -3 -1 109 109 94 -15
Space S 2 2 109 94 124 15
S O 1 -7 94 140 63 -31
O M -2 2 140 93 78 -62
M E 2 4 93 78 93 0
E T 0 -2 78 140 219 141
T H -1 -1 140 94 93 -47
H I 1 -2 94 156 110 16
I N -2 2 156 124 78 -78
N G 1 1 124 93 109 -15
G Space -2 1 93 109 125 32
Space T 3 -1 109 94 140 31
T O 0 -4 94 94 109 15
O Space -3 5 94 94 109 15
Space L 2 -5 94 94 125 31
L O 1 0 94 109 172 78
O S -1 7 109 140 78 -31
S E 1 -1 140 125 78 -62
E OemPeriod -2 -6 125 140 156 31
OemPeriod Space -1 5 140 93 203 63
Space RShiftKey 1 -7 93 250 639 546
RShiftKey Y 2 5 250 94 187 -63
Y O 0 -3 94 140 219 125
O U 0 2 140 93 78 -62
U Space -3 3 93 94 31 -62
Space A 2 3 94 156 172 78
A R 1 -3 156 172 124 -32
R E 0 1 172 109 110 -62
E Space -3 -1 109 78 78 -31
Space A 2 3 78 109 109 31
A L 0 -8 109 78 78 -31
L R 1 5 78 156 47 -31
R E 0 1 156 109 93 -63
E A -1 2 109 156 141 32
A D 0 -2 156 109 93 -63
D Y 1 -3 109 94 109 0
Y Space -3 2 94 109 125 31
Space N 1 -2 109 125 94 -15
N A 1 5 125 124 125 0
A K 0 -7 124 94 124 0
K E 1 5 94 78 78 -16
E D -1 0 78 109 172 94
D OemPeriod -1 -6 109 94 140 31
OemPeriod Space -1 5 94 94 125 31
Space RShiftKey 1 -7 94 219 312 218
RShiftKey T 2 6 219 109 141 -78
T H -1 -1 109 78 124 15
H E 1 3 78 140 172 94
E R 0 -1 140 187 94 -46
R E 0 1 187 125 109 -78
E Space -3 -1 125 93 125 0
Space I 3 -4 93 93 156 63
I S -1 6 93 78 78 -15
S Space -2 -2 78 94 93 15
Space N 1 -2 94 141 187 93
N O 2 -3 141 110 78 -63
O Space -3 5 110 78 47 -63
Space R 3 0 78 156 250 172
R E 0 1 156 110 93 -63
E A -1 2 110 125 250 140
A S 0 -1 125 156 47 -78
S O 1 -7 156 141 171 15
O N -2 3 141 110 78 -63
N Space -1 2 110 78 141 31
Space N 1 -2 78 156 842 764
N O 2 -3 156 125 78 -78
O T 0 4 125 78 109 -16
T Space -3 1 78 109 110 32
Space T 3 -1 109 62 78 -31
T O 0 -4 62 94 93 31
O Space -3 5 94 78 109 15
Space F 2 0 78 78 156 78
F O 1 -5 78 78 63 -15
O L -1 0 78 78 171 93
L L 0 0 78 78 156 78
L O 1 0 78 94 156 78
O W 0 7 94 78 78 -16
W Space -3 -2 78 94 125 47
Space Y 3 -2 94 78 141 47
Y O 0 -3 78 171 78 0
O U 0 2 171 109 78 -93
U R 0 3 109 94 124 15
R Space -3 0 94 94 125 31
Space H 2 -2 94 78 702 608
H E 1 3 78 172 125 47
E A -1 2 172 124 94 -78
A R 1 -3 124 140 265 141
R T 0 -1 140 78 93 -47
T Left -3 -6 78 140 5367 5289
Left X 1 9 140 62 265 125
X Back 3 -11 62 78 7488 7426
Back OemPeriod -3 4 78 93 250 172
OemPeriod Return 1 -3 93 78 624 531
Return Return 0 0 78 78 171 93
Return RShiftKey -1 1 78 234 2293 2215
RShiftKey RShiftKey 0 0 234 297 936 702
RShiftKey A 1 10 297 94 94 -203
A B -1 -4 94 93 671 577
B O 2 -4 93 140 109 16
O U 0 2 140 110 62 -78
U T 0 2 110 78 94 -16
T Space -3 1 78 78 125 47
Space A 2 3 78 94 93 15
A Space -2 -3 94 93 63 -31
Space Y 3 -2 93 78 218 125
Y E 0 3 78 140 94 16
E A -1 2 140 203 78 -62
A R 1 -3 203 109 156 -47
R Space -3 0 109 93 156 47
Space A 2 3 93 94 608 515
A G 0 -4 94 93 172 78
G O 1 -4 93 94 140 47
O Space -3 5 94 94 78 -16
Space RShiftKey 1 -7 94 156 187 93
RShiftKey I 2 3 156 94 78 -78
I Space -3 4 94 78 78 -16
Space W 3 2 78 93 219 141
W A -1 1 93 156 78 -15
A S 0 -1 156 94 93 -63
S Space -2 -2 94 93 110 16
Space D 2 1 93 78 187 94
D I 1 -5 78 78 125 47
I A -1 7 78 78 109 31
A G 0 -4 78 78 156 78
G N -1 -1 78 172 62 -16
N O 2 -3 172 94 125 -47
O S -1 7 94 140 281 187
S E 1 -1 140 78 93 -47
E D -1 0 78 78 172 94
D Space -2 -1 78 94 78 0
Space W 3 2 94 94 109 15
W I 0 -6 94 62 141 47
I T 0 3 62 140 187 125
T H -1 -1 140 109 62 -78
H Space -2 2 109 78 141 32
Space C 1 1 78 156 171 93
C A 1 2 156 172 109 -47
A N -1 -5 172 78 78 -94
N C 0 3 78 78 78 0
C E 2 0 78 141 125 47
E R 0 -1 141 94 78 -63
R OemPeriod -2 -5 94 93 141 47
OemPeriod Space -1 5 93 78 109 16
Space RShiftKey 1 -7 78 187 125 47
RShiftKey I 2 3 187 94 93 -94
I Space -3 4 94 78 109 15
Space H 2 -2 78 93 141 63
H A 0 5 93 171 125 32
A D 0 -2 171 110 124 -47
D Space -2 -1 110 78 172 62
Space A 2 3 78 78 390 312
A Space -2 -3 78 94 78 0
Space S 2 2 94 156 140 46
S C -1 -1 156 172 94 -62
C A 1 2 172 78 156 -16
A N -1 -5 78 93 94 16
N Space -1 2 93 109 78 -15
Space A 2 3 109 171 499 390
A T 1 -4 171 93 125 -46
T Space -3 1 93 109 78 -15
Space D7 4 -3 109 63 249 140
D7 RShiftKey -3 -4 63 219 390 327
RShiftKey Oem1 1 1 219 125 109 -110
Oem1 D3 2 7 125 109 375 250
D3 D0 0 -7 109 62 109 0
D0 Space -4 6 62 94 218 156
Space I 3 -4 94 125 843 749
I N -2 2 125 93 78 -47
N Space -1 2 93 94 62 -31
Space T 3 -1 94 78 187 93
T H -1 -1 78 63 47 -31
H E 1 3 63 78 172 109
E Space -3 -1 78 78 62 -16
Space M 1 -3 78 140 219 141
M O 2 -2 140 109 62 -78
O P 0 -1 109 78 16 -93
P R 0 6 78 93 109 31
R N -2 -2 93 156 93 0
N I 2 -2 156 172 125 -31
I N -2 2 172 125 94 -78
N G 1 1 125 93 125 0
G Oemcomma -1 -3 93 109 312 219
Oemcomma Space -1 4 109 78 93 -16
Space A 2 3 78 78 203 125
A N -1 -5 78 94 78 0
N D 1 3 94 78 109 15
D Space -2 -1 78 78 78 0
Space I 3 -4 78 109 125 47
I T 0 3 109 78 62 -47
T Space -3 1 78 109 110 32
Space C 1 1 109 78 109 0
C L 1 -6 78 78 93 15
L E 1 6 78 125 94 16
E A -1 2 125 172 78 -47
A R 1 -3 172 109 109 -63
R L -1 -5 109 93 141 32
L Y 1 3 93 78 171 78
Y Space -3 2 78 93 94 16
Space S 2 2 93 109 218 125
S H 0 -4 109 62 141 32
H O 1 -3 62 93 156 94
O W 0 7 93 109 156 63
W E 0 -1 109 62 234 125
E D -1 0 62 109 156 94
D Space -2 -1 109 94 93 -16
Space A 2 3 94 78 453 359
A Space -2 -3 78 94 93 15
Space T 3 -1 94 78 234 140
T I 0 -3 78 187 156 78
I Back 1 -5 187 109 437 250
Back U -1 6 109 93 281 172
U M -2 0 93 124 203 110
M O 2 -2 124 125 109 -15
O R 0 5 125 94 109 -16
R Space -3 0 94 78 109 15
Space I 3 -4 78 125 125 47
I N -2 2 125 94 62 -63
N Space -1 2 94 78 110 16
Space M 1 -3 78 110 124 46
M Y 2 1 110 62 141 31
Y Space -3 2 62 94 93 31
Space P 3 -6 94 94 312 218
P A -1 9 94 93 141 47
A N -1 -5 93 94 1154 1061
N C 0 3 94 78 203 109
C R 2 -1 78 187 203 125
R E 0 1 187 124 125 -62
E A -1 2 124 156 249 125
A S 0 -1 156 125 94 -62
S OemPeriod -1 -7 125 78 1014 889
OemPeriod Space -1 5 78 78 109 31
Space RShiftKey 1 -7 78 156 156 78
RShiftKey I 2 3 156 94 78 -78
I Space -3 4 94 78 94 0
Space D 2 1 78 62 156 78
D I 1 -5 62 78 78 16
I D -1 5 78 63 93 15
D N -1 -3 63 78 172 109
N Oem7 1 -5 78 94 109 31
Oem7 T 1 6 94 78 125 31
T Space -3 1 78 78 125 47
Space E 3 1 78 125 109 31
E V -2 -1 125 141 93 -32
V E 2 1 141 187 141 0
E R 0 -1 187 125 109 -78
R Space -3 0 125 93 125 0
Space K 2 -4 93 141 171 78
K N -1 2 141 109 94 -47
N O 2 -3 109 93 172 63
O W 0 7 93 78 46 -47
W Space -3 -2 78 94 125 47
Space W 3 2 94 78 47 -47
W H -1 -4 78 109 125 47
H A 0 5 109 140 47 -62
A T 1 -4 140 93 109 -31
T Space -3 1 93 63 93 0
Space A 2 3 63 78 78 15
A Space -2 -3 78 78 94 16
Space P 3 -6 78 109 203 125
P A -1 9 109 78 203 94
A N -1 -5 78 93 109 31
N C 0 3 93 93 125 32
C R 2 -1 93 172 202 109
R E 0 1 172 93 110 -62
E A -1 2 93 156 187 94
A S 0 -1 156 125 93 -63
S Space -2 -2 125 78 141 16
Space W 3 2 78 62 203 125
W A -1 1 62 203 15 -47
A S 0 -1 203 94 156 -47
S OemPeriod -1 -7 94 109 172 78
OemPeriod Space -1 5 109 78 140 31
Space RShiftKey 1 -7 78 234 328 250
RShiftKey T 2 6 234 93 156 -78
T H -1 -1 93 78 125 32
H E 1 3 78 78 202 124
E Space -3 -1 78 94 125 47
Space D 2 1 94 78 63 -31
D O 1 -6 78 93 109 31
O C -2 6 93 62 78 -15
C T 2 -2 62 62 187 125
T O 0 -4 62 93 125 63
O R 0 5 93 140 125 32
R S -1 2 140 140 78 -62
S Space -2 -2 140 78 156 16
Space T 3 -1 78 78 951 873
T O 0 -4 78 78 94 16
O L -1 0 78 93 156 78
L D 0 6 93 94 109 16
D Space -2 -1 94 78 94 0
Space M 1 -3 78 94 171 93
M E 2 4 94 78 109 15
E Space -3 -1 78 94 94 16
Space T 3 -1 94 141 1357 1263
T H -1 -1 141 94 78 -63
H I 1 -2 94 109 94 0
I S -1 6 109 109 125 16
S Space -2 -2 109 78 125 16
Space W 3 2 78 78 109 31
W A -1 1 78 172 62 -16
A S 0 -1 172 94 109 -63
S Space -2 -2 94 78 47 -47
Space L 2 -5 78 94 156 78
L A 0 8 94 109 78 -16
A M -1 -6 109 140 141 32
M O 2 -2 140 93 78 -62
O S -1 7 93 172 93 0
S T 1 -3 172 110 109 -63
T Space -3 1 110 94 172 62
Space C 1 1 94 109 811 717
C E 2 0 109 156 141 32
E R 0 -1 156 94 93 -63
R T 0 -1 94 78 172 78
T A -1 4 78 124 125 47
A I 1 -7 124 125 46 -78
I N -2 2 125 94 78 -47
N L 1 -3 94 110 156 62
L Y 1 3 110 109 94 -16
Y Space -3 2 109 78 109 0
Space A 2 3 78 109 203 125
A Space -2 -3 109 78 94 -15
Space T 3 -1 78 156 2730 2652
T Y 0 -1 156 94 93 -63
Y P 0 -4 94 110 109 15
P E 0 7 110 94 125 15
E Space -3 -1 94 94 109 15
Space O 3 -5 94 78 156 62
O F -1 5 78 78 32 -46
F Space -2 0 78 94 124 46
Space C 1 1 94 125 94 0
C N 0 -3 125 93 94 -31
N A 1 5 93 141 15 -78
A C -1 -2 141 94 109 -32
C E 2 0 94 125 141 47
E R 0 -1 125 93 78 -47
R Space -3 0 93 94 109 16
Space T 3 -1 94 109 484 390
T H -1 -1 109 78 78 -31
H A 0 5 78 156 218 140
A T 1 -4 156 109 94 -62
T Space -3 1 109 94 93 -16
Space I 3 -4 94 94 156 62
I S -1 6 94 78 78 -16
S Space -2 -2 78 94 109 31
Space I 3 -4 94 125 156 62
I N -2 2 125 109 63 -62
N C 0 3 109 62 156 47
C U 2 -4 62 94 109 47
U R 0 3 94 93 125 31
R A -1 3 93 109 156 63
A B -1 -4 109 94 187 78
B L 1 -4 94 94 109 15
L E 1 6 94 93 94 0
E OemPeriod -2 -6 93 109 125 32
OemPeriod Space -1 5 109 110 124 15
Space Back 4 -9 110 62 578 468
Back Back 0 0 62 78 156 94
Back Oemcomma -3 5 78 110 592 514
Oemcomma Space -1 4 110 94 78 -32
Space A 2 3 94 93 188 94
A N -1 -5 93 94 46 -47
N D 1 3 94 93 110 16
D Space -2 -1 93 93 78 -15
Space T 3 -1 93 109 171 78
T H -1 -1 109 93 63 -46
H A 0 5 93 110 202 109
A T 1 -4 110 109 47 -63
T Space -3 1 109 78 78 -31
Space RShiftKey 1 -7 78 188 187 109
RShiftKey I 2 3 188 93 110 -78
I Space -3 4 93 93 109 16
Space S 2 2 93 109 499 406
S H 0 -4 109 109 109 0
H O 1 -3 109 156 187 78
O U 0 2 156 110 78 -78
U L -1 -2 110 125 172 62
L D 0 6 125 94 140 15
D Space -2 -1 94 78 141 47
Space E 3 1 78 93 936 858
E X -2 1 93 93 203 110
X P 2 -8 93 93 109 16
P E 0 7 93 156 109 16
E C -2 0 156 93 94 -62
C T 2 -2 93 78 202 109
T Space -3 1 78 93 110 32
Space T 3 -1 93 93 78 -15
T O 0 -4 93 94 93 0
O Space -3 5 94 93 141 47
Space L 2 -5 93 172 124 31
L I 1 1 172 93 110 -62
I V -2 4 93 109 109 16
V E 2 1 109 109 47 -62
E Space -3 -1 109 62 109 0
Space N 1 -2 62 156 156 94
N O 2 -3 156 125 78 -78
O Space -3 5 125 63 140 15
Space L 2 -5 63 78 78 15
L O 1 0 78 156 187 109
O N -2 3 156 110 78 -78
N G 1 1 110 78 94 -16
G E 1 2 78 171 250 172
E R 0 -1 171 94 93 -78
R Space -3 0 94 78 156 62
Space T 3 -1 78 156 1903 1825
T H -1 -1 156 125 78 -78
H A 0 5 125 109 266 141
A N -1 -5 109 78 140 31
N Space -1 2 78 94 78 0
Space T 3 -1 94 141 187 93
T H -1 -1 141 94 78 -63
H R 1 2 94 78 203 109
R E 0 1 78 62 156 78
E E 0 0 62 110 140 78
E Space -3 -1 110 78 968 858
Space T 3 -1 78 124 390 312
T O 0 -4 124 140 218 94
O Space -3 5 140 93 125 -15
Space S 2 2 93 93 749 656
S I 1 -6 93 124 156 63
I X -2 6 124 78 109 -15
X Space -1 -2 78 93 125 47
Space M 1 -3 93 125 171 78
M O 2 -2 125 172 109 -16
O N -2 3 172 93 110 -62
N T 2 1 93 125 93 0
T H -1 -1 125 109 63 -62
H S 0 4 109 93 187 78
S OemPeriod -1 -7 93 93 125 32
OemPeriod Space -1 5 93 94 124 31
Space RShiftKey 1 -7 94 265 1389 1295
RShiftKey M 0 4 265 110 171 -94
M Space -1 3 110 94 234 124
Space Back 4 -9 94 109 453 359
Back Y -1 7 109 94 577 468
Y Space -3 2 94 94 109 15
Space D 2 1 94 93 141 47
D O 1 -6 93 78 93 0
O C -2 6 78 62 125 47
C T 2 -2 62 109 343 281
T O 0 -4 109 94 187 78
O R 0 5 94 93 110 16
R Space -3 0 93 94 140 47
Space A 2 3 94 172 1279 1185
A D 0 -2 172 94 125 -47
D V -1 -1 94 62 203 109
V I 2 -4 62 94 109 47
I S -1 6 94 171 281 187
S E 1 -1 171 62 125 -46
E D -1 0 62 109 140 78
D Space -2 -1 109 94 78 -31
Space M 1 -3 94 109 1404 1310
M E 2 4 109 93 125 16
E Space -3 -1 93 94 93 0
Space T 3 -1 94 93 188 94
T O 0 -4 93 78 93 0
O Space -3 5 78 94 125 47
Space G 2 -1 94 78 156 62
G O 1 -4 78 62 78 0
O Space -3 5 62 93 47 -15
Space H 2 -2 93 78 171 78
H O 1 -3 78 93 110 32
O M -2 2 93 109 31 -62
M Space -1 3 109 93 125 16
Space A 2 3 93 78 639 546
A N -1 -5 78 78 94 16
N D 1 3 78 78 78 0
D Space -2 -1 78 109 109 31
Space G 2 -1 109 140 515 406
G E 1 2 140 156 140 0
E T 0 -2 156 94 109 -47
T Space -3 1 94 93 63 -31
Space M 1 -3 93 93 156 63
M Y 2 1 93 78 47 -46
Y Space -3 2 78 94 124 46
Space A 2 3 94 78 110 16
A F 0 -3 78 63 171 93
F F 0 0 63 94 125 62
F A 0 3 94 93 94 0
A I 1 -7 93 109 156 63
I R 0 4 109 156 78 -31
R S -1 2 156 125 109 -47
S Space -2 -2 125 78 78 -47
Space I 3 -4 78 109 140 62
I N -2 2 109 94 47 -62
N Space -1 2 94 94 62 -32
Space O 3 -5 94 78 141 47
O R 0 5 78 63 93 15
R D -1 1 63 125 156 93
D E 1 0 125 171 110 -15
E R 0 -1 171 125 93 -78
R Oemcomma -2 -4 125 109 546 421
Oemcomma Space -1 4 109 94 109 0
Space W 3 2 94 78 266 172
W H -1 -4 78 156 93 15
H I 1 -2 156 125 94 -62
I C -2 5 125 78 93 -32
C H 1 -3 78 94 125 47
H Space -2 2 94 78 109 15
Space I 3 -4 78 109 640 562
I S -1 6 109 94 78 -31
S Space -2 -2 94 109 109 15
Space D 2 1 109 78 125 16
D O 1 -6 78 78 94 16
O C -2 6 78 78 93 15
C T 2 -2 78 62 219 141
T O 0 -4 62 94 842 780
O R 0 5 94 78 109 15
R Oem7 -1 -7 78 63 624 546
Oem7 S 0 9 63 78 109 46
S Space -2 -2 78 78 125 47
Space C 1 1 78 62 141 63
C O 2 -6 62 93 109 47
O D -1 6 93 171 1295 1202
D E 1 0 171 125 109 -62
E Space -3 -1 125 94 93 -32
Space F 2 0 94 109 1763 1669
F O 1 -5 109 93 94 -15
O R 0 5 93 78 78 -15
R Space -3 0 78 78 109 31
Space R 3 0 78 187 156 78
R P 0 -6 187 94 31 -156
P E 0 7 94 140 63 -31
E P 0 -7 140 94 140 0
P A -1 9 94 156 62 -32
A R 1 -3 156 172 94 -62
R E 0 1 172 156 94 -78
E Space -3 -1 156 94 140 -16
Space T 3 -1 94 78 62 -32
T O 0 -4 78 78 110 32
O Space -3 5 78 78 93 15
Space D 2 1 78 94 156 78
D I 1 -5 94 93 94 0
I E 0 5 93 94 93 0
E OemPeriod -2 -6 94 78 141 47
OemPeriod Space -1 5 78 93 156 78
Space RShiftKey 1 -7 93 219 1497 1404
RShiftKey I 2 3 219 109 110 -109
I T 0 3 109 62 109 0
T Space -3 1 62 62 156 94
Space M 1 -3 62 78 156 94
M E 2 4 78 187 281 203
E A -1 2 187 171 109 -78
A N -1 -5 171 78 156 -15
N S 1 4 78 93 125 47
S Space -2 -2 93 93 78 -15
Space T 3 -1 93 78 156 63
T O 0 -4 78 78 93 15
O Space -3 5 78 78 141 63
Space T 3 -1 78 156 218 140
T R 0 1 156 156 125 -31
R Y 0 -2 156 78 125 -31
Y Space -3 2 78 94 93 15
Space T 3 -1 94 78 94 0
T O 0 -4 78 78 78 0
O Space -3 5 78 78 109 31
Space T 3 -1 78 171 250 172
T E 0 2 171 125 124 -47
E L -1 -6 125 62 110 -15
L L 0 0 62 94 124 62
L Space -2 5 94 94 47 -47
Space Y 3 -2 94 93 172 78
Y O 0 -3 93 125 156 63
O U 0 2 125 109 47 -78
U R 0 3 109 110 280 171
R Space -3 0 110 94 94 -16
Space K 2 -4 94 125 218 124
K I 1 0 125 109 593 468
I D -1 5 109 188 187 78
D S 0 1 188 109 125 -63
S Space -2 -2 109 109 94 -15
Space E 3 1 109 156 156 47
E V -2 -1 156 94 171 15
V E 2 1 94 110 156 62
E R 0 -1 110 109 63 -47
R Y 0 -2 109 93 203 94
Y T 0 1 93 141 171 78
T H -1 -1 141 109 78 -63
H I 1 -2 109 109 94 -15
I N -2 2 109 78 47 -62
N Space -1 2 78 109 171 93
Space Y 3 -2 109 63 78 -31
Y O 0 -3 63 94 125 62
O U 0 2 94 78 47 -47
U Space -3 3 78 78 62 -16
Space T 3 -1 78 125 156 78
T H -1 -1 125 109 63 -62
H O 1 -3 109 125 109 0
O U 0 2 125 93 47 -78
U G -1 2 93 124 78 -15
G H 0 -1 124 172 93 -31
H T 1 1 172 94 125 -47
T Space -3 1 94 93 94 0
Space Y 3 -2 93 78 608 515
Y O 0 -3 78 141 62 -16
O U 0 2 141 109 63 -78
U Oem7 -1 -4 109 94 249 140
Oem7 D 0 8 94 109 110 16
D Space -2 -1 109 78 140 31
Space H 2 -2 78 94 1248 1170
H A 0 5 94 125 109 15
A V -1 -3 125 203 250 125
V E 2 1 203 93 156 -47
E Space -3 -1 93 78 156 63
Space T 3 -1 78 110 93 15
T H -1 -1 110 78 78 -32
H E 1 3 78 63 156 78
E Space -3 -1 63 62 110 47
Space E 3 1 62 94 140 78
E N -2 -3 94 32 62 -32
N X 0 4 32 156 188 156
X T 2 -3 156 93 109 -47
T Space -3 1 93 78 125 32
Space D1 4 3 78 62 140 62
D1 D0 0 -9 62 94 62 0
D0 Space -4 6 94 93 219 125
Space Y 3 -2 93 93 156 63
Y E 0 3 93 172 140 47
E A -1 2 172 156 125 -47
A R 1 -3 156 187 125 -31
R S -1 2 187 140 125 -62
S Space -2 -2 140 110 670 530
Space T 3 -1 110 78 281 171
T O 0 -4 78 78 125 47
O Space -3 5 78 109 109 31
Space T 3 -1 109 78 265 156
T E 0 2 78 78 624 546
E L -1 -6 78 63 1295 1217
L L 0 0 63 93 141 78
L Space -2 5 93 78 46 -47
Space T 3 -1 78 109 172 94
T H -1 -1 109 78 62 -47
H E 1 3 78 78 156 78
E M -2 -4 78 93 63 -15
M Space -1 3 93 93 125 32
Space I 3 -4 93 125 124 31
I N -2 2 125 109 63 -62
N Space -1 2 109 109 47 -62
Space J 2 -3 109 172 1060 951
J U 1 0 172 125 94 -78
U S -1 5 125 125 78 -47
S T 1 -3 125 94 78 -47
T Space -3 1 94 93 94 0
Space A 2 3 93 125 982 889
A Space -2 -3 125 78 156 31
Space F 2 0 78 78 141 63
F E 1 1 78 124 203 125
E W 0 1 124 109 78 -46
W Space -3 -2 109 94 46 -63
Space M 1 -3 94 125 172 78
M O 2 -2 125 171 94 -31
O N -2 3 171 109 109 -62
N T 2 1 109 109 31 -78
T H -1 -1 109 110 62 -47
H S 0 4 110 93 188 78
S OemPeriod -1 -7 93 93 78 -15
OemPeriod Space -1 5 93 93 156 63
Space RShiftKey 1 -7 93 234 17113 17020
RShiftKey I 2 3 234 124 125 -109
I T 0 3 124 78 124 0
T Space -3 1 78 62 141 63
Space M 1 -3 62 78 187 125
M E 2 4 78 218 16 -62
E A -1 2 218 203 109 -109
A N -1 -5 203 125 171 -32
N S 1 4 125 109 141 16
S Space -2 -2 109 93 125 16
Space T 3 -1 93 78 499 406
T O 0 -4 78 110 93 15
O Space -3 5 110 94 125 15
Space M 1 -3 94 109 125 31
M A 1 6 109 94 78 -31
A K 0 -7 94 78 94 0
K E 1 5 78 78 62 -16
E Space -3 -1 78 109 109 31
Space S 2 2 109 109 78 -31
S U 1 -5 109 78 141 32
U R 0 3 78 140 109 31
R E 0 1 140 125 62 -78
E Space -3 -1 125 94 546 421
Space E 3 1 94 140 609 515
E V -2 -1 140 109 109 -31
V E 2 1 109 141 140 31
